site,year,block,n_trt,nrate_kgha,yield_kgha,weather
B,2006,2,N90,90,13480,wet
B,2006,3,N90,90,11812,wet
B,2006,4,N90,90,13418,wet
B,2006,1,N120,120,15925,wet
B,2006,2,N120,120,14989,wet
B,2006,3,N120,120,15022,wet
B,2006,4,N120,120,16084,wet
B,2006,1,N180,180,17243,wet
B,2006,2,N180,180,16778,wet
B,2006,3,N180,180,15953,wet
B,2006,4,N180,180,14531,wet
B,2006,1,N240,240,16658,wet
B,2006,2,N240,240,16102,wet
B,2006,3,N240,240,15977,wet
B,2006,4,N240,240,15774,wet
B,2006,1,N300,300,16017,wet
B,2006,2,N300,300,16069,wet
B,2006,3,N300,300,16161,wet
B,2006,4,N300,300,15257,wet
